Descrição dos resultados obtidos,,,,,,,,,,,,
*IPE: Índice de Permanência Estrutural (%),,,,,,,,,,,,
Produto de classificação (SEM USO DE MÁSCARA),Tamanho do kernel (n X n),Exatidão Global,IPE* (EG[C. Original] / EG[Pontual]),,Kappa Global,Ac. Prod - Secondary Vegetation,Ac. Prod - Water,Ac. Prod - Dirt road,Ac. Prod - Forest,Ac. Prod - Clean Pasture,Ac. Prod - Dirty Pasture,
Mapa_classificação_contextual3X3_MPAD_135DP.tif,3,0.84,2.11,-0.12,0.81,0.95,1,0.55,0.94,0.7,0.91,135
Mapa_classificação_contextual3X3_MPAD_136DP.tif,3,0.84,2.11,-0.12,0.81,0.95,1,0.55,0.94,0.7,0.91,136
Mapa_classificação_contextual3X3_MPAD_137DP.tif,3,0.84,2.11,-0.12,0.81,0.95,1,0.55,0.94,0.7,0.91,137
Mapa_classificação_contextual3X3_MPAD_138DP.tif,3,0.84,2.11,-0.12,0.81,0.95,1,0.55,0.94,0.7,0.91,138
Mapa_classificação_contextual3X3_MPAD_139DP.tif,3,0.84,2.11,-0.12,0.81,0.95,1,0.55,0.94,0.7,0.91,139
Mapa_classificação_contextual3X3_MPAD_140DP.tif,3,0.84,2.11,-0.12,0.81,0.95,1,0.55,0.94,0.7,0.91,140
Mapa_classificação_contextual3X3_MPAD_141DP.tif,3,0.84,2.11,-0.12,0.81,0.95,1,0.55,0.94,0.7,0.91,141
Mapa_classificação_contextual3X3_MPAD_142DP.tif,3,0.84,2.11,-0.12,0.81,0.95,1,0.55,0.94,0.7,0.91,142
Mapa_classificação_contextual3X3_MPAD_143DP.tif,3,0.84,2.11,-0.12,0.81,0.95,1,0.55,0.94,0.7,0.91,143
Mapa_classificação_contextual3X3_MPAD_144DP.tif,3,0.84,2.11,-0.12,0.81,0.95,1,0.55,0.94,0.7,0.91,144
Mapa_classificação_contextual3X3_MPAD_145DP.tif,3,0.84,2.11,-0.12,0.81,0.95,1,0.55,0.94,0.7,0.91,145
Mapa_classificação_contextual3X3_MPAD_146DP.tif,3,0.84,2.11,-0.12,0.81,0.95,1,0.55,0.94,0.7,0.91,146
Mapa_classificação_contextual3X3_MPAD_147DP.tif,3,0.84,2.11,-0.12,0.81,0.95,1,0.55,0.94,0.7,0.91,147
Mapa_classificação_contextual3X3_MPAD_148DP.tif,3,0.84,2.11,-0.12,0.81,0.95,1,0.55,0.94,0.7,0.91,148
Mapa_classificação_contextual3X3_MPAD_149DP.tif,3,0.84,2.11,-0.12,0.81,0.95,1,0.55,0.94,0.7,0.91,149
Mapa_classificação_contextual3X3_MPAD_150DP.tif,3,0.84,2.11,-0.12,0.81,0.95,1,0.55,0.94,0.7,0.91,150
,,,,,,,,,,,,
Produto de classificação (SEM USO DE MÁSCARA),Tamanho do kernel (n X n),Exatidão Global,IPE* (EG[C. MPAD] / EG[Pontual]),,Kappa Global,Ac. Prod - Secondary Vegetation,Ac. Prod - Water,Ac. Prod - Dirt road,Ac. Prod - Forest,Ac. Prod - Clean Pasture,Ac. Prod - Dirty Pasture,
Classificação Contextual - MF 5X5,5,0.84,1.49,,0.8,0.96,1,0.36,0.98,0.77,0.94,
,,,,,,,,,,,,
Produto de classificação (COM USO DA MPAD),Tamanho do kernel (n X n),Exatidão Global,IPE* (EG[C. MPAD] / EG[Pontual]),IPE* (EG[C. MPAD] / EG[C. Original]),Kappa Global,Ac. Prod - Secondary Vegetation,Ac. Prod - Water,Ac. Prod - Dirt road,Ac. Prod - Forest,Ac. Prod - Clean Pasture,Ac. Prod - Dirty Pasture,Fator C
Mapa_classificação_contextual5X5_MPAD_1DP.tif,5,0.85,2.61,1.1,0.81,0.85,1,0.77,0.91,0.72,0.83,1
Mapa_classificação_contextual5X5_MPAD_2DP.tif,5,0.85,2.98,1.47,0.82,0.87,1,0.74,0.91,0.72,0.85,2
Mapa_classificação_contextual5X5_MPAD_3DP.tif,5,0.85,3.72,2.2,0.83,0.88,1,0.72,0.91,0.74,0.88,3
Mapa_classificação_contextual5X5_MPAD_4DP.tif,5,0.86,4.34,2.81,0.83,0.9,1,0.71,0.93,0.74,0.88,4
Mapa_classificação_contextual5X5_MPAD_5DP.tif,5,0.87,5.21,3.67,0.84,0.9,1,0.71,0.94,0.77,0.89,5
